"REPORTABLE_DOMAIN","NWEIGHT","MONEYPY","NHSLDMEM","BEDROOMS","UR","KOWNRENT","HDD65","KWH","CUFEETNG","GALLONLP","GALLONFO","GALLONKER","BTUWOOD","TOTALBTU"
27,12367.40845,5,1,1,"U",2,4794,2087,61,0,0,0,0,13374
27,11925.03614,12,1,2,"U",1,5089,4397,729,0,0,0,10000,89726
27,3815.110532,10,4,3,"U",2,0,8196,0,0,0,0,0,27965
27,9263.266127,9,3,3,"R",1,7379,21845,25,0,0,0,40000,77098
27,6276.511945,8,3,2,"U",2,4407,11750,0,0,0,0,0,40091
27,9563.448887,23,1,3,"U",1,5194,24838,0,0,0,0,0,84747
27,12294.50837,13,1,1,"U",1,4512,6156,819,0,0,0,0,104952
27,13757.85331,7,1,1,"U",2,4847,6131,0,0,0,0,0,20919
27,3815.110532,12,3,3,"U",2,19,2952,0,0,0,0,0,10072
27,7951.520605,8,2,4,"R",1,0,9036,0,0,0,0,0,30831
27,4927.897921,6,1,2,"U",1,0,2407,0,0,0,0,0,8213
27,7164.223489,20,2,2,"U",1,4835,14139,0,0,0,0,0,48242
27,7136.883253,23,2,4,"U",1,10174,7183,2379,0,0,0,0,268356
27,7059.119101,19,2,3,"U",1,5133,14416,0,0,0,0,0,49187
27,19400.42802,24,3,3,"U",1,5129,22030,0,0,0,0,0,75166
27,8085.782259,9,4,2,"U",2,10968,5583,559,0,0,0,0,76347
27,10270.16234,7,4,3,"U",1,6366,11508,698,0,0,0,20000,110810
27,18088.58097,10,1,3,"R",1,5913,12458,0,361,0,0,0,75477
27,9401.189239,23,4,3,"U",1,4827,6670,25,0,0,0,0,25321
27,10033.16277,4,1,2,"U",1,6475,11503,0,0,0,0,0,39248
27,7164.224611,6,2,1,"U",2,4598,13624,0,0,0,0,0,46485
27,9263.264747,15,2,3,"R",1,5315,27765,0,0,0,0,40000,94734
27,7951.519832,12,2,3,"U",1,33,7987,0,0,0,0,0,27252
27,9263.265359,24,3,3,"R",1,5640,23162,0,0,0,0,0,79029
27,8724.987676,20,3,3,"R",1,4907,9960,0,0,0,0,20000,33984
27,10834.97668,6,1,2,"U",2,4741,10741,0,0,0,0,0,36648
27,15578.37355,8,2,3,"R",3,5549,8143,0,0,0,0,40000,27784
27,10270.16096,16,3,4,"R",1,6686,12380,855,0,0,0,0,129879
27,11795.05168,12,1,3,"U",1,6860,9556,781,0,0,0,0,112658
27,9695.101689,8,3,2,"U",1,9962,7674,1171,0,0,0,0,146212
27,11925.0351,5,1,2,"U",2,5185,5251,324,0,0,0,0,51126
27,4473.185336,9,2,2,"U",2,4559,6601,0,0,0,0,0,22523
27,7837.836823,10,2,2,"U",2,5078,9466,0,0,0,0,0,32298
27,7951.521036,1,2,2,"U",2,0,7028,217,0,0,0,0,46223
27,12206.22928,12,1,3,"U",1,5588,4750,776,0,0,0,0,95747
27,7136.883623,18,4,5,"U",1,10086,11382,1516,0,0,0,0,194225
27,476.0997678,20,5,5,"U",1,4682,11806,1217,0,0,0,10000,165025
27,9388.677107,10,1,1,"U",1,9985,2522,857,0,0,0,0,96448
27,9263.264747,18,2,4,"R",1,5328,22943,0,0,0,0,0,78282
27,6276.51414,8,2,2,"U",2,5140,29653,0,0,0,0,0,101176
27,11269.88534,6,1,5,"R",1,5091,40473,0,0,0,0,120000,138094
27,11654.99998,6,2,3,"U",1,4678,7577,612,0,0,0,0,88583
27,8946.37009,16,2,2,"U",1,4599,11270,0,0,0,27,0,42050
27,14531.59505,5,2,1,"U",1,4703,1278,0,121,0,0,0,15373
27,9263.2658,15,3,3,"U",1,4943,19193,0,0,0,0,0,65487
27,12012.71375,3,1,1,"U",2,6454,2623,486,0,0,0,0,58765
27,11437.68785,7,1,2,"U",1,4786,8131,0,0,0,0,40000,27743
27,6276.513079,21,3,2,"U",2,4938,26108,0,0,0,0,0,89080
27,8236.299166,24,3,2,"U",2,5087,12642,0,0,0,0,0,43135
27,9263.263781,7,3,4,"U",1,5024,19991,0,0,0,0,0,68209
27,10651.14449,23,2,2,"U",2,4760,10572,0,0,0,0,10000,36072
27,12294.50856,20,1,3,"U",1,4175,5447,595,0,0,0,0,79573
27,5211.538743,12,5,4,"U",2,4733,9684,1047,0,0,0,0,140360
27,9131.566265,13,5,3,"U",1,4947,6533,578,0,0,0,0,81536
27,12983.49974,4,1,1,"U",2,6605,11977,0,0,0,0,40000,40866
27,11655.00099,23,2,4,"U",1,5665,17897,1003,0,0,0,0,163872
27,7757.701336,12,5,5,"R",3,6104,14420,0,0,0,0,80000,49201
27,10512.33182,7,5,2,"U",2,4542,14175,0,350,0,0,10000,80312
27,10651.1428,20,2,2,"U",2,4809,10570,0,0,0,0,10000,36065
27,10651.1428,12,2,2,"U",2,4906,10890,0,0,0,0,10000,37157
27,7566.83476,23,2,2,"U",2,0,7211,49,0,0,0,0,29627
27,7136.883253,17,2,2,"U",1,10079,10391,1230,0,0,0,0,161529
27,7757.697801,22,2,2,"R",1,5093,14982,0,0,0,0,80000,51119
