"","cx","cy","REPORTABLE_DOMAIN","NWEIGHT","MONEYPY","NHSLDMEM","BEDROOMS","UR","KOWNRENT","HDD65","KWH","CUFEETNG","GALLONLP","GALLONFO","GALLONKER","BTUWOOD","wKWH"
"5822",319.386666666667,-27.791053645072,27,12983.49974,4,1,1,"U",2,6605,11977,0,0,0,0,40000,155503376.38598
"5853",477.253333333333,24.1544642642441,27,11655.00099,23,2,4,"U",1,5665,17897,1003,0,0,0,0,208589552.71803
"5863",384.533333333333,-1.54556342257894,27,7757.701336,12,5,5,"R",3,6104,14420,0,0,0,0,80000,111866053.26512
"5868",378,-18.4229081561916,27,10512.33182,7,5,2,"U",2,4542,14175,0,350,0,0,10000,149012303.5485
"5880",281.866666666667,-23.5758394752638,27,10651.1428,20,2,2,"U",2,4809,10570,0,0,0,0,10000,112582579.396
"5898",290.4,14.9894453372331,27,10651.1428,12,2,2,"U",2,4906,10890,0,0,0,0,10000,115990945.092
"5939",192.293333333333,65.689995123875,27,7566.83476,23,2,2,"U",2,0,7211,49,0,0,0,0,54564445.45436
"5943",277.093333333333,-9.40579377797787,27,7136.883253,17,2,2,"U",1,10079,10391,1230,0,0,0,0,74159353.881923
"5945",399.52,29.4355643540204,27,7757.697801,22,2,2,"R",1,5093,14982,0,0,0,0,80000,116225828.454582
"5950",254.426666666667,6.29394027702847,27,12789.88041,15,2,3,"U",2,5286,9541,552,0,0,0,40000,122028248.99181
"5951",336.48,-21.3348358593715,27,13851.28453,5,3,4,"U",1,4800,12618,0,0,0,0,0,174775508.19954
"5955",180.266666666667,-39.1912420669143,27,5438.698226,24,2,2,"U",1,11615,6760,783,0,0,0,20000,36765600.00776
"5967",163.253333333333,6.30558116671657,27,16624.03137,7,3,1,"R",2,5557,6122,0,0,0,0,0,101772320.04714
"5978",109.146666666667,42.8750288339122,27,7951.521036,17,3,2,"U",2,12,4093,184,0,0,0,0,32545575.600348
"5982",179.066666666667,-25.0988025725565,27,6059.496584,10,2,4,"U",1,21,6715,0,0,0,0,0,40689519.56156
"5990",800,-7.44762342529361,27,10512.33274,17,3,5,"U",1,5559,46958,0,82,0,0,20000,493638120.80492
"5991",350.213333333333,-34.5144145561815,27,8640.827417,9,2,2,"U",1,5031,13133,0,0,0,0,0,113479986.467461
"5999",190.773333333333,84.949212044292,27,13181.1769,8,2,2,"U",2,5098,7154,410,0,0,0,0,94298139.5426
"6001",124.933333333333,2.23633120464583,27,12789.87939,22,5,4,"U",1,4713,4685,1078,0,0,0,0,59920584.94215
"6065",800,31.5486715685101,27,9401.190528,24,3,3,"R",1,5226,32688,0,289,0,0,0,307306115.979264
"6097",628.853333333333,30.0369411866289,27,14531.59256,10,5,3,"U",2,6049,23582,0,0,0,0,0,342684015.74992
"6108",243.76,-20.8504205463004,27,10588.35991,20,2,3,"U",1,4647,9141,579,0,0,0,0,96788197.93731
"6199",325.626666666667,2.32439227162297,27,9263.26711,7,3,3,"U",1,5052,12211,0,0,0,0,0,113113754.68021
"6205",486.426666666667,-19.4230269978292,27,10423.07576,24,7,5,"U",1,4918,18241,747,0,0,0,0,190127324.93816
