"","cx_low","cy_low","cx_high","cy_high","MONEYPY","BEDROOMS","UR","KOWNRENT","TaxLow","TaxHigh","NWEIGHT","income_group_level"
"17",29.993576463833,43.8934713989904,428.742756044245,25.797223135829,"$5,000 to $7,499",3,"Rural","Owned",4.08,204.21,9007.728534,"3"
"18",32.0568323111795,6.25172978899079,458.235937675398,7.68554899709565,"$25,000 to $29,999",3,"Rural","Owned",4.37,218.26,26478.052091,"8"
"19",32.3352411166901,-68.6823038799557,458.711420145894,-24.9369212836027,"$30,000 to $34,999",3,"Rural","Owned",4.4,218.48,9263.266127,"9"
"20",18.2978294689992,27.2168383748108,261.558065461985,-67.6280185425487,"$35,000 to $39,999",3,"Rural","Owned",2.49,124.58,18088.58097,"10"
"21",26.472780857281,-0.919148669078197,378.414792867136,11.0423735756285,"$40,000 to $44,999",3,"Rural","Owned",3.6,180.24,23814.669817,"11"
"22",37.1479132228228,-15.8021145336867,531.010322015133,25.3085072636604,"$45,000 to $49,999",3,"Rural","Owned",5.06,252.92,9263.263202,"12"
"23",24.6046909026067,-56.3035365085089,351.71140733819,-20.7596338540719,"$55,000 to $59,999",3,"Rural","Owned",3.35,167.52,10755.89449,"14"
"24",684.225377217582,9.65570989251137,764.538763900581,9.70712102949619,"$60,000 to $64,999",3,"Rural","Owned",93.17,425.03,24154.869497,"15"
"25",32.3670517910733,-33.07276817765,462.670365658626,15.8931176336697,"$65,000 to $69,999",3,"Rural","Owned",4.41,220.37,17499.564952,"16"
"26",22.7155668617063,79.9076941443697,297.957811951412,-17.1641066238301,"$70,000 to $74,999",3,"Rural","Owned",3.09,141.92,43926.23978,"17"
"27",564.351327430773,8.34650383889675,491.382391167753,8.5435689240694,"$75,000 to $79,999",3,"Rural","Owned",76.85,234.05,27291.126476,"18"
"28",35.1921020876425,-1.43944171900174,437.103739927988,-14.7671147895504,"$80,000 to $84,999",3,"Rural","Owned",4.79,208.19,19237.323474,"19"
"29",15.9719084815396,47.3038339499859,228.310220687387,35.4285625155198,"$85,000 to $89,999",3,"Rural","Owned",2.17,108.74,20260.934166,"20"
"30",33.5413851299589,19.1241245955635,479.45685702072,-15.2506228043694,"$95,000 to $99,999",3,"Rural","Owned",4.57,228.37,19119.425094,"22"
"31",32.366540161248,73.9642632348463,430.817047517494,1.9820808661006,"$100,000 to $119,999",3,"Rural","Owned",4.41,205.2,40073.265045,"23"
"32",308.371944998871,13.3430163435439,560.031934014619,9.13891150057316,"$120,000 or More",3,"Rural","Owned",41.99,266.74,26422.153752,"24"
"33",25.0786104675642,17.818650598119,358.485843880235,14.3679291307926,"$25,000 to $29,999",4,"Rural","Owned",3.41,170.75,17214.785352,"8"
"34",21.5746361430509,44.3818723734303,308.398332282156,-22.1789835764145,"$35,000 to $39,999",4,"Rural","Owned",2.94,146.89,13046.40491,"10"
"35",35.8621711226264,-68.4639508993488,512.631299684634,9.23620882630348,"$45,000 to $49,999",4,"Rural","Owned",4.88,244.17,26224.554561,"12"
"36",298.208669911767,-13.2012700736523,439.234892279126,8.56891389813889,"$60,000 to $64,999",4,"Rural","Owned",40.61,209.21,18995.149241,"15"
"37",35.4559290203772,-33.103713271935,463.138171203515,-4.49111385136848,"$65,000 to $69,999",4,"Rural","Owned",4.83,220.59,28174.252727,"16"
"38",51.5403061403636,29.9735710099586,756.932177839183,26.4240591526031,"$70,000 to $74,999",4,"Rural","Owned",7.02,350.91,8236.301527,"17"
"39",33.6977927040655,-73.893595478555,481.692622884438,25.1006934940815,"$75,000 to $79,999",4,"Rural","Owned",4.59,229.43,9263.264747,"18"
"40",15.6099961146671,26.0842650121978,223.136869459783,-42.6913364221017,"$90,000 to $94,999",4,"Rural","Owned",2.13,106.28,10865.60846,"21"
"41",27.5618583778953,-60.6343433571789,284.370335660457,-57.3394172609753,"$95,000 to $99,999",4,"Rural","Owned",3.75,135.45,10270.16255,"22"
"42",26.2779473735222,-41.3895315405131,337.520144679234,-5.70728830703202,"$100,000 to $119,999",4,"Rural","Owned",3.58,160.76,25506.28386,"23"
"43",19.3267104826367,78.759932674389,195.223062286994,-25.9143244965021,"$120,000 or More",4,"Rural","Owned",2.63,92.98,20379.988446,"24"
"44",59.4451799726122,19.8956955373287,793.997730879728,-20.0820735096931,"$15,000 to $19,999",5,"Rural","Owned",8.09,404.73,11269.88534,"6"
"45",114.538511727027,-23.7201697230339,757.483475511246,-23.9644738584757,"$120,000 or More",5,"Rural","Owned",15.6,776.29,10270.16096,"24"
"47",11.4684575134581,44.7514677823321,122.110742885744,4.67474004983683,"$10,000 to $14,999",1,"Urban","Owned",1.56,58.16,26456.63208,"5"
"48",12.2793042569066,48.3618597995024,55.4013963361998,24.7328603714705,"$35,000 to $39,999",1,"Urban","Owned",1.67,26.39,9388.677107,"10"
"49",17.2365575629393,79.954437575525,131.589210833304,18.2318731152453,"$50,000 to $54,999",1,"Urban","Owned",2.35,62.68,12294.50837,"13"
"50",5.98079640373772,69.5744989654754,85.4924099021676,-19.0276956707239,"$60,000 to $64,999",1,"Urban","Owned",0.81,40.72,11636.38794,"15"
"51",4.09196924872625,62.5761324333287,58.492596755265,17.7485247254372,"$70,000 to $74,999",1,"Urban","Owned",0.56,27.86,12367.40845,"17"
